District No.,District Name,AC No.,Name of Assembly Constituency,Male,Female,Third Gender,Total Electors,Total_Candidates,AC_Name_Match
1,Thiruvallur,1,Gummidipoondi,122195.0,129372.0,36.0,251603.0,15.0,GUMMIDIPOONDI
1,Thiruvallur,2,Ponneri,121221.0,127662.0,34.0,248917.0,15.0,PONNERI
1,Thiruvallur,3,Tiruttani,128642.0,131417.0,25.0,260084.0,,TIRUTTANI
1,Thiruvallur,4,Thiruvallur,121188.0,127426.0,37.0,248651.0,,THIRUVALLUR
1,Thiruvallur,5,Poonamallee,176849.0,186769.0,70.0,363688.0,,POONAMALLEE
1,Thiruvallur,6,Avadi,209662.0,219035.0,75.0,428772.0,,AVADI
1,Thiruvallur,7,Maduravoyal,179602.0,184349.0,80.0,364031.0,,MADURAVOYAL
1,Thiruvallur,8,Ambattur,162248.0,168175.0,57.0,330480.0,,AMBATTUR
1,Thiruvallur,9,Madavaram,205922.0,214596.0,83.0,420601.0,,MADAVARAM
1,Thiruvallur,10,Thiruvottiyur,117181.0,123289.0,116.0,240586.0,,THIRUVOTTIYUR
2,Chennai,11,Dr.Radhakrishnan Nagar,93576.0,102201.0,79.0,195856.0,,DR.RADHAKRISHNAN NAGAR
2,Chennai,12,Perambur,107995.0,114726.0,71.0,222792.0,,PERAMBUR
2,Chennai,13,Kolathur,99607.0,107607.0,37.0,207251.0,,KOLATHUR
2,Chennai,14,Villivakkam,76947.0,82785.0,32.0,159764.0,,VILLIVAKKAM
2,Chennai,15,Thiru-Vi-Ka-Nagar,85724.0,93008.0,61.0,178793.0,,THIRU-VI-KA-NAGAR
2,Chennai,16,Egmore,65677.0,69149.0,53.0,134879.0,,EGMORE
2,Chennai,17,Royapuram,75870.0,81004.0,57.0,156931.0,,ROYAPURAM
2,Chennai,18,Harbour,58221.0,58620.0,55.0,116896.0,,HARBOUR
2,Chennai,19,Chepauk-Thiruvallikeni,79412.0,84396.0,58.0,163866.0,,CHEPAUK-THIRUVALLIKENI
2,Chennai,20,Thousand Lights,73500.0,80343.0,65.0,153908.0,,THOUSAND LIGHTS
2,Chennai,21,Anna Nagar,87325.0,94029.0,48.0,181402.0,,ANNA NAGAR
2,Chennai,22,Virugambakkam,95025.0,101461.0,50.0,196536.0,,VIRUGAMPAKKAM
2,Chennai,23,Saidapet,96950.0,103685.0,62.0,200697.0,,SAIDAPET
2,Chennai,24,Thiyagarayanagar,74682.0,80228.0,33.0,154943.0,,THIYAGARAYANAGAR
2,Chennai,25,Mylapore,93017.0,101691.0,23.0,194731.0,,MYLAPORE
2,Chennai,26,Velachery,102235.0,109411.0,45.0,211691.0,,VELACHERY
3,Kancheepuram,28,Alandur,143839.0,152173.0,40.0,296052.0,,ALANDUR
3,Kancheepuram,29,Sriperumbudur,181852.0,194007.0,62.0,375921.0,,SRIPERUMBUDUR
3,Kancheepuram,36,Uthiramerur,118564.0,125300.0,58.0,243922.0,,UTHIRAMERUR
3,Kancheepuram,37,Kancheepuram,133825.0,142437.0,37.0,276299.0,,KANCHEEPURAM
4,Vellore,40,Katpadi,108863.0,116914.0,32.0,225809.0,,KATPADI
4,Vellore,43,Vellore,101554.0,109460.0,49.0,211063.0,,VELLORE
4,Vellore,44,Anaikattu,113833.0,120863.0,42.0,234738.0,,ANAIKATTU
4,Vellore,45,Kilvaithinankuppam,104458.0,108985.0,8.0,213451.0,,KILVAITHINANKUPPAM
4,Vellore,46,Gudiyattam,120946.0,127547.0,33.0,248526.0,,GUDIYATTAM
5,Krishnagiri,51,Uthangarai,116918.0,116541.0,41.0,233500.0,,UTHANGARAI
5,Krishnagiri,52,Bargur,117135.0,120197.0,17.0,237349.0,,BARGUR
5,Krishnagiri,53,Krishnagiri,129777.0,135200.0,60.0,265037.0,,KRISHNAGIRI
5,Krishnagiri,54,Veppanahalli,123389.0,120449.0,37.0,243875.0,,VEPPANAHALLI
5,Krishnagiri,55,Hosur,169099.0,169124.0,72.0,338295.0,,HOSUR
5,Krishnagiri,56,Thalli,120000.0,115947.0,37.0,235984.0,,THALLI
6,Dharmapuri,57,Palacodu,119611.0,117845.0,20.0,237476.0,,PALACODU
6,Dharmapuri,58,Pennagaram,126763.0,119521.0,9.0,246293.0,,PENNAGARAM
6,Dharmapuri,59,Dharmapuri,129393.0,128464.0,82.0,257939.0,,DHARMAPURI
6,Dharmapuri,60,Pappireddipatti,127427.0,127217.0,14.0,254658.0,,PAPPIREDDIPATTI
6,Dharmapuri,61,Harur,121453.0,122264.0,25.0,243742.0,,HARUR
7,Tiruvannamalai,62,Chengam,132571.0,134045.0,13.0,266629.0,,CHENGAM
7,Tiruvannamalai,63,Tiruvannamalai,119784.0,127477.0,48.0,247309.0,,TIRUVANNAMALAI
7,Tiruvannamalai,64,Kilpennathur,117840.0,121058.0,15.0,238913.0,,KILPENNATHUR
7,Tiruvannamalai,65,Kalasapakkam,114155.0,116592.0,19.0,230766.0,,KALASAPAKKAM
7,Tiruvannamalai,66,Polur,114221.0,118196.0,9.0,232426.0,,POLUR
7,Tiruvannamalai,67,Arani,123335.0,129650.0,37.0,253022.0,,ARANI
7,Tiruvannamalai,68,Cheyyar,117159.0,121115.0,9.0,238283.0,,CHEYYAR
7,Tiruvannamalai,69,Vandavasi,104662.0,107144.0,5.0,211811.0,,VANDAVASI
8,Viluppuram,70,Gingee,119278.0,121651.0,28.0,240957.0,,GINGEE
8,Viluppuram,71,Mailam,103451.0,104195.0,19.0,207665.0,,MAILAM
8,Viluppuram,72,Tindivanam,106762.0,110836.0,11.0,217609.0,,TINDIVANAM
8,Viluppuram,73,Vanur,101938.0,106030.0,16.0,207984.0,,VANUR
8,Viluppuram,74,Viluppuram,118786.0,125218.0,76.0,244080.0,,VILUPPURAM
8,Viluppuram,75,Vikravandi,112050.0,115276.0,29.0,227355.0,,VIKRAVANDI
8,Viluppuram,76,Tirukkoyilur,121023.0,119948.0,32.0,241003.0,,TIRUKKOYILUR
9,Salem,81,Gangavalli,105720.0,111067.0,7.0,216794.0,,GANGAVALLI
9,Salem,82,Attur,109943.0,116517.0,21.0,226481.0,,ATTUR
9,Salem,83,Yercaud,132685.0,137827.0,17.0,270529.0,,YERCAUD
9,Salem,84,Omalur,148764.0,143081.0,21.0,291866.0,,OMALUR
9,Salem,85,Mettur,127853.0,125575.0,17.0,253445.0,,METTUR
9,Salem,86,Edappadi,138709.0,135316.0,29.0,274054.0,,EDAPPADI
9,Salem,87,Sankari,130573.0,128075.0,30.0,258678.0,,SANKARI
9,Salem,88,Salem (West),127131.0,128125.0,64.0,255320.0,,SALEM (WEST)
9,Salem,89,Salem (North),114816.0,121224.0,48.0,236088.0,,SALEM (NORTH)
9,Salem,90,Salem (South),109918.0,114130.0,49.0,224097.0,,SALEM (SOUTH)
9,Salem,91,Veerapandi,124850.0,123611.0,17.0,248478.0,,VEERAPANDI
10,Namakkal,92,Rasipuram,107813.0,112728.0,13.0,220554.0,,RASIPURAM
10,Namakkal,93,Senthamangalam,111214.0,116087.0,26.0,227327.0,,SENTHAMANGALAM
10,Namakkal,94,Namakkal,113217.0,122093.0,41.0,235351.0,,NAMAKKAL
10,Namakkal,95,Paramathi-Velur,97727.0,105830.0,10.0,203567.0,,PARAMATHI-VELUR
10,Namakkal,96,Tiruchengodu,100412.0,106475.0,41.0,206928.0,,TIRUCHENGODU
10,Namakkal,97,Kumarapalayam,104916.0,112239.0,69.0,217224.0,,KUMARAPALAYAM
11,Erode,98,Erode (East),84202.0,91989.0,37.0,176228.0,,ERODE (EAST)
11,Erode,99,Erode (West),118206.0,127246.0,41.0,245493.0,,ERODE (WEST)
11,Erode,100,Modakkurichi,98532.0,107577.0,13.0,206122.0,,MODAKKURICHI
11,Erode,103,Perundurai,101851.0,110225.0,8.0,212084.0,,PERUNDURAI
11,Erode,104,Bhavani,108203.0,113170.0,20.0,221393.0,,BHAVANI
11,Erode,105,Anthiyur,100339.0,105371.0,27.0,205737.0,,ANTHIYUR
11,Erode,106,Gobichettipalayam,113378.0,124190.0,13.0,237581.0,,GOBICHETTIPALAYAM
11,Erode,107,Bhavanisagar,113755.0,121806.0,23.0,235584.0,,BHAVANISAGAR
12,The Nilgiris,108,Udhagamandalam,89066.0,98348.0,11.0,187425.0,,UDHAGAMANDALAM
12,The Nilgiris,109,Gudalur,89206.0,94675.0,7.0,183888.0,,GUDALUR
12,The Nilgiris,110,Coonoor,83045.0,92768.0,7.0,175820.0,,COONOOR
13,Coimbatore,111,Mettuppalayam,133022.0,146382.0,34.0,279438.0,,METTUPPALAYAM
13,Coimbatore,116,Sulur,145987.0,157452.0,102.0,303541.0,,SULUR
13,Coimbatore,117,Kavundampalayam,198430.0,208963.0,114.0,407507.0,,KAVUNDAMPALAYAM
